episode_id,reference_month_scope,eastern_standardized,central_standardized,flavour_margin,flavour
roni_warm_1951_04,episode_mean,0.3644135073682929,0.2835907904254067,0.08082271694288623,eastern_pacific
roni_warm_1953_02,episode_mean,0.21975100028949163,0.3346406853941884,-0.11488968510469677,central_pacific
roni_warm_1957_03,episode_mean,0.8585962674635241,0.7044143451432299,0.15418192232029426,eastern_pacific
roni_warm_1963_07,episode_mean,0.01952948467927329,0.39310014017356093,-0.37357065549428764,central_pacific
roni_warm_1965_05,episode_mean,0.6330724490860672,0.5792782431456182,0.053794205940449036,eastern_pacific
roni_warm_1968_10,episode_mean,0.1577325815306698,0.8393171672967529,-0.681584585766083,central_pacific
roni_warm_1972_04,episode_mean,0.9469018091571711,0.6598536844318851,0.28704812472528607,eastern_pacific
roni_warm_1976_07,episode_mean,0.22240243920222572,-0.03175218660857634,0.25415462581080206,eastern_pacific
roni_warm_1977_09,episode_mean,-0.2164990821524463,0.6000325234769279,-0.8165316056293742,central_pacific
roni_warm_1982_05,episode_mean,1.4948658511223283,0.8473934935795264,0.6474723575428019,eastern_pacific
roni_warm_1986_08,episode_mean,0.5867279706113775,1.0132509630145243,-0.42652299240314684,central_pacific
roni_warm_1991_05,episode_mean,0.8426421807486121,1.1064369635609241,-0.26379478281231206,central_pacific
roni_warm_1993_01,episode_mean,1.1543705911288644,0.46085676125519526,0.6935138298736692,eastern_pacific
roni_warm_1994_07,episode_mean,0.04130495282925585,1.103832504852681,-1.062527552023425,central_pacific
roni_warm_1997_05,episode_mean,1.9422267251985825,1.095693571389422,0.8465331538091605,eastern_pacific
roni_warm_2002_07,episode_mean,0.0894517165779609,1.2582396996985146,-1.1687879831205537,central_pacific
roni_warm_2004_07,episode_mean,-0.13565003601338693,1.287539860166248,-1.423189896179635,central_pacific
roni_warm_2006_09,episode_mean,0.22023583483353396,1.1933607729485338,-0.9731249381149999,central_pacific
roni_warm_2009_09,episode_mean,0.6229428702194559,1.4800837718113544,-0.8571409015918985,central_pacific
roni_warm_2015_03,episode_mean,1.6246456692509559,1.835871434633834,-0.21122576538287818,central_pacific
roni_warm_2018_10,episode_mean,0.8210324124998426,1.3314901008678492,-0.5104576883680066,central_pacific
roni_warm_2023_07,episode_mean,1.193435124443155,1.7628826420401043,-0.5694475175969493,central_pacific
