cell,index_definition,lag_months,weighting,term,estimate,naive_standard_error,block_standard_error,ci_lower,ci_upper,block_bootstrap_p_value,studentized_p_value,valid_replicates,confidence_level,observations,units,periods,within_r_squared,design_condition_number,bh_q_value,reject_fdr
roni:lag0:exposure,roni,0,exposure,exposure_x_enso,0.04724150938638612,0.032807770661467506,0.0319534661688364,-0.01312773173531207,0.11262185359487366,0.13943028485757122,0.13243378310844578,2000,0.95,17992,24,798,0.00012568890264430532,18.666962157787815,0.46310178244211225,False
roni:lag0:exposure,roni,0,exposure,control_x_enso,0.00512087659478333,0.003656812944104823,0.003660754852801104,-0.00202810390576463,0.012587073848718378,0.15892053973013492,0.15092453773113443,2000,0.95,17992,24,798,0.00012568890264430532,18.666962157787815,,False
roni:lag0:uniform,roni,0,uniform,exposure_x_enso,-0.0005165898544631071,0.0017743300542815066,0.002505516897835903,-0.005288567167038348,0.004519802856995401,0.8365817091454273,0.8345827086456772,2000,0.95,17992,24,798,4.9368563247442765e-06,1.0,0.9645177411294353,False
roni:lag3:exposure,roni,3,exposure,exposure_x_enso,0.056484430799434646,0.0328796685386588,0.0329622007093887,-0.009612272578032707,0.12045437190414256,0.09195402298850575,0.08745627186406797,2000,0.95,18013,24,799,0.00017174191868651878,18.667461838443344,0.46310178244211225,False
roni:lag3:exposure,roni,3,exposure,control_x_enso,0.005570525094595631,0.0036648166698383913,0.003862325228018537,-0.0015521059620352826,0.013393260694766401,0.1584207896051974,0.15342328835582209,2000,0.95,18013,24,799,0.00017174191868651878,18.667461838443344,,False
roni:lag3:uniform,roni,3,uniform,exposure_x_enso,-6.537264437237914e-05,0.0017782163641763074,0.0023490858418680335,-0.004431087865397852,0.004871131484390188,0.9790104947526237,0.9785107446276862,2000,0.95,18013,24,799,7.862252549006854e-08,1.0,0.9820089955022488,False
roni:lag6:exposure,roni,6,exposure,exposure_x_enso,0.04244947975908688,0.032890912835448934,0.034193219934716836,-0.022914936949933195,0.1096998961355366,0.21839080459770116,0.20839580209895053,2000,0.95,18013,24,799,0.00014252451259921806,18.667195750709094,0.46310178244211225,False
roni:lag6:exposure,roni,6,exposure,control_x_enso,0.002561693846506448,0.003666030135065739,0.003767265051430053,-0.004657491115685754,0.010213851404397834,0.49325337331334335,0.4877561219390305,2000,0.95,18013,24,799,0.00014252451259921806,18.667195750709094,,False
roni:lag6:uniform,roni,6,uniform,exposure_x_enso,0.0015754910754567594,0.0017787827120797218,0.0023718122313298876,-0.0030275203341567055,0.006388814417017331,0.5132433783108445,0.5087456271864068,2000,0.95,18013,24,799,4.563419555969617e-05,1.0,0.7842232729788952,False
roni:lag9:exposure,roni,9,exposure,exposure_x_enso,0.02499757431484995,0.03295948194912603,0.035883480085322696,-0.044727804318999566,0.10056372907171425,0.4862568715642179,0.4827586206896552,2000,0.95,18013,24,799,0.0001943613590226212,18.66615554411007,0.7842232729788952,False
roni:lag9:exposure,roni,9,exposure,control_x_enso,-0.0005285341104658636,0.00367366511014878,0.003966062339838654,-0.00810337856061792,0.007351358004666733,0.8935532233883059,0.8900549725137431,2000,0.95,18013,24,799,0.0001943613590226212,18.66615554411007,,False
roni:lag9:uniform,roni,9,uniform,exposure_x_enso,0.002964783971250094,0.0017825331505352162,0.002232701425557078,-0.0012832193094027347,0.0076055909750761125,0.17991004497751126,0.17091454272863568,2000,0.95,18013,24,799,0.00016090336088681045,1.0,0.46310178244211225,False
roni:lag12:exposure,roni,12,exposure,exposure_x_enso,-0.0009641602155602751,0.03299177732088561,0.03497282040951781,-0.0659673780377271,0.06813565737887908,0.9815092453773113,0.9820089955022488,2000,0.95,18013,24,799,0.00019668390320692897,18.66518547867914,0.9820089955022488,False
roni:lag12:exposure,roni,12,exposure,control_x_enso,-0.003374829107309628,0.0036772515617668326,0.004373657947033781,-0.01177656356826726,0.005259537254087052,0.4427786106946527,0.43428285857071464,2000,0.95,18013,24,799,0.00019668390320692897,18.66518547867914,,False
roni:lag12:uniform,roni,12,uniform,exposure_x_enso,0.0032808645160471417,0.0017843419999542,0.002031660740361486,-0.0007524276851660473,0.007108873297673394,0.10694652673663169,0.10494752623688156,2000,0.95,18013,24,799,0.0001966342267112342,1.0,0.46310178244211225,False
oni:lag0:exposure,oni,0,exposure,exposure_x_enso,0.05432549940629332,0.033811198535880785,0.03325763760902932,-0.007387377931053818,0.12126985380462957,0.10394802598700649,0.09545227386306847,2000,0.95,17992,24,798,0.00015382486670856288,18.650167556943913,0.46310178244211225,False
oni:lag0:exposure,oni,0,exposure,control_x_enso,0.005739423029932457,0.0037678184933354598,0.0038728265141592996,-0.0016651852374905977,0.013342940103315734,0.136431784107946,0.13143428285857073,2000,0.95,17992,24,798,0.00015382486670856288,18.650167556943913,,False
oni:lag0:uniform,oni,0,uniform,exposure_x_enso,-0.00044770371675492004,0.0018302523756533748,0.0023814769805321546,-0.005077105830375477,0.004176179405363239,0.8430784607696152,0.8425787106446777,2000,0.95,17992,24,798,3.4848784318253223e-06,1.0,0.9645177411294353,False
oni:lag3:exposure,oni,3,exposure,exposure_x_enso,0.0552537878892645,0.03396452518457357,0.034219060951765946,-0.011621559056627966,0.11881638070245197,0.09895052473763119,0.09695152423788106,2000,0.95,18013,24,799,0.0001562480236616537,18.648372830886448,0.46310178244211225,False
oni:lag3:exposure,oni,3,exposure,control_x_enso,0.005015774424993408,0.0037848804275234325,0.003967606723900629,-0.0026935818161968883,0.012666063208385186,0.2028985507246377,0.20539730134932535,2000,0.95,18013,24,799,0.0001562480236616537,18.648372830886448,,False
oni:lag3:uniform,oni,3,uniform,exposure_x_enso,0.0003661632301385165,0.0018387311955794165,0.0022044685836596005,-0.003948832051075051,0.004657451420655131,0.8715642178910544,0.8680659670164917,2000,0.95,18013,24,799,2.306938909679701e-06,1.0,0.9645177411294353,False
oni:lag6:exposure,oni,6,exposure,exposure_x_enso,0.03795170805427873,0.03399737285159929,0.034603137107718424,-0.02821234584656691,0.10504777786307422,0.2698650674662669,0.2613693153423288,2000,0.95,18013,24,799,0.00010833224454109835,18.647664401833875,0.5227386306846576,False
oni:lag6:exposure,oni,6,exposure,control_x_enso,0.0022518175571333973,0.0037884892863178856,0.003801686625701558,-0.005381421571417818,0.00943672895013519,0.5427286356821589,0.5397301349325337,2000,0.95,18013,24,799,0.00010833224454109835,18.647664401833875,,False
oni:lag6:uniform,oni,6,uniform,exposure_x_enso,0.0014447204311507978,0.0018405034054524796,0.002220081578485355,-0.00263634959903678,0.00589578220971571,0.5137431284357821,0.5097451274362819,2000,0.95,18013,24,799,3.5842883045922314e-05,1.0,0.7842232729788952,False
oni:lag9:exposure,oni,9,exposure,exposure_x_enso,0.014487483605998358,0.03401665470342841,0.03562209360671347,-0.049489836183191804,0.08559244551257435,0.6921539230384808,0.688655672163918,2000,0.95,18013,24,799,0.00011954035109107419,18.648640483693747,0.918207562885224,False
oni:lag9:exposure,oni,9,exposure,control_x_enso,-0.0011094414739014563,0.0037906743458947373,0.003980048537394997,-0.008826577504127629,0.006829580223082706,0.783608195902049,0.7821089455272364,2000,0.95,18013,24,799,0.00011954035109107419,18.648640483693747,,False
oni:lag9:uniform,oni,9,uniform,exposure_x_enso,0.0025205785798049682,0.0018413948277594832,0.002041891039904369,-0.0014884071652051043,0.006694743585992699,0.20539730134932535,0.20189905047476261,2000,0.95,18013,24,799,0.00010898919175572619,1.0,0.46310178244211225,False
oni:lag12:exposure,oni,12,exposure,exposure_x_enso,-0.015475643595423756,0.03402378697392256,0.03490574626143488,-0.08200185965491365,0.05844949941029131,0.6346826586706646,0.6336831584207896,2000,0.95,18013,24,799,0.00014067952371688008,18.648840214007095,0.9052616548868423,False
