shift_years,is_observed_timing,commodity,index_definition,anchor,horizon_months,outcome,episodes,estimate,standard_error,t_statistic
0,True,Coconut oil,roni,retrospective,6,seasonal_adjusted_log_return,19,0.10189498876001218,0.05532689404206239,1.8416900229849573
0,True,Palm oil,roni,retrospective,6,seasonal_adjusted_log_return,19,0.04552891291132776,0.037297010302873954,1.220712130586496
0,True,"Rubber, RSS3",roni,retrospective,6,seasonal_adjusted_log_return,19,0.05664591297263068,0.04647420421249599,1.2188678414723606
0,True,Coconut oil,roni,retrospective,6,market_adjusted_log_return,19,0.2519009210819519,0.05174065714031373,4.868529605235402
0,True,Palm oil,roni,retrospective,6,market_adjusted_log_return,19,0.11361622281489837,0.033789176208363914,3.3625034867459918
0,True,"Rubber, RSS3",roni,retrospective,6,market_adjusted_log_return,19,0.14510055315209125,0.045161766447522324,3.212906946868368
0,True,Coconut oil,roni,retrospective,12,seasonal_adjusted_log_return,19,0.26996711451162003,0.06601183462337967,4.089677495738085
0,True,Palm oil,roni,retrospective,12,seasonal_adjusted_log_return,19,0.14923146432012172,0.043751821747802545,3.410862870587027
0,True,"Rubber, RSS3",roni,retrospective,12,seasonal_adjusted_log_return,19,0.12794139423836617,0.057003568071193556,2.244445366622948
0,True,Coconut oil,roni,retrospective,12,market_adjusted_log_return,19,0.5579560405502099,0.06238028370825547,8.944429351422931
0,True,Palm oil,roni,retrospective,12,market_adjusted_log_return,19,0.28510606287448215,0.04080634174271839,6.986807704352899
0,True,"Rubber, RSS3",roni,retrospective,12,market_adjusted_log_return,19,0.2975983388530931,0.05112790244034571,5.820663955465818
0,True,Coconut oil,roni,retrospective,18,seasonal_adjusted_log_return,19,0.40955171280793823,0.09069147221264656,4.515878977547659
0,True,Palm oil,roni,retrospective,18,seasonal_adjusted_log_return,19,0.286345158222434,0.06473801877999244,4.4231374950716
0,True,"Rubber, RSS3",roni,retrospective,18,seasonal_adjusted_log_return,19,0.24134462295179926,0.07631624159596577,3.16242804814116
0,True,Coconut oil,roni,retrospective,18,market_adjusted_log_return,19,0.8135982911466834,0.07827369283436435,10.394275032715601
0,True,Palm oil,roni,retrospective,18,market_adjusted_log_return,19,0.46803448743474085,0.05562024014367865,8.414823205108616
0,True,"Rubber, RSS3",roni,retrospective,18,market_adjusted_log_return,19,0.47965433777745786,0.06551481456704744,7.321311079749492
0,True,Coconut oil,roni,retrospective,24,seasonal_adjusted_log_return,19,0.5204212149021297,0.10402880317092272,5.002664637476032
0,True,Palm oil,roni,retrospective,24,seasonal_adjusted_log_return,19,0.3122283580320997,0.07386770145162201,4.226858991092158
0,True,"Rubber, RSS3",roni,retrospective,24,seasonal_adjusted_log_return,19,0.29836731345070266,0.08962119999124055,3.329204624350764
0,True,Coconut oil,roni,retrospective,24,market_adjusted_log_return,19,1.0378040241074609,0.09202712545038948,11.2771535460697
0,True,Palm oil,roni,retrospective,24,market_adjusted_log_return,19,0.537005135843836,0.06500493713504678,8.260990003393372
0,True,"Rubber, RSS3",roni,retrospective,24,market_adjusted_log_return,19,0.6037721227927325,0.07875447342894719,7.666512091372939
0,True,Coconut oil,roni,observable,6,seasonal_adjusted_log_return,19,0.17616288923043585,0.04322676723227269,4.075319541798034
0,True,Palm oil,roni,observable,6,seasonal_adjusted_log_return,19,0.09855602820949794,0.026576162123581798,3.708437198388639
0,True,"Rubber, RSS3",roni,observable,6,seasonal_adjusted_log_return,19,0.08761256416937874,0.04009464215843303,2.185143935770265
0,True,Coconut oil,roni,observable,6,market_adjusted_log_return,19,0.3332269246127919,0.04387174317954881,7.595479469530823
0,True,Palm oil,roni,observable,6,market_adjusted_log_return,19,0.17371664091225733,0.027771103859476814,6.255301978317905
0,True,"Rubber, RSS3",roni,observable,6,market_adjusted_log_return,19,0.18010709153841525,0.03565271002379193,5.051708311043546
0,True,Coconut oil,roni,observable,12,seasonal_adjusted_log_return,19,0.315747487526754,0.08195861931161594,3.852523263309822
0,True,Palm oil,roni,observable,12,seasonal_adjusted_log_return,19,0.23566972211181025,0.0596258234308043,3.952477442685629
0,True,"Rubber, RSS3",roni,observable,12,seasonal_adjusted_log_return,19,0.20101579288281185,0.06314035363938776,3.1836342575917347
0,True,Coconut oil,roni,observable,12,market_adjusted_log_return,19,0.5888691752092652,0.07422852854363887,7.933192086154175
0,True,Palm oil,roni,observable,12,market_adjusted_log_return,19,0.35664506547251607,0.05390220382851252,6.616521035154084
0,True,"Rubber, RSS3",roni,observable,12,market_adjusted_log_return,19,0.36216309046278,0.05300293259882603,6.832887780077316
0,True,Coconut oil,roni,observable,18,seasonal_adjusted_log_return,19,0.42661698962094563,0.10324853410756696,4.131942339989885
0,True,Palm oil,roni,observable,18,seasonal_adjusted_log_return,19,0.2615529219214761,0.07771218526434871,3.3656616530826895
0,True,"Rubber, RSS3",roni,observable,18,seasonal_adjusted_log_return,19,0.25803848338171526,0.08381133070036112,3.0788018902151073
0,True,Coconut oil,roni,observable,18,market_adjusted_log_return,19,0.8130749081700429,0.09487310753463492,8.570130454230322
0,True,Palm oil,roni,observable,18,market_adjusted_log_return,19,0.4256157138816113,0.07264617244918697,5.858749326116418
0,True,"Rubber, RSS3",roni,observable,18,market_adjusted_log_return,19,0.48628087547805454,0.0733755778747234,6.6272851207836245
0,True,Coconut oil,roni,observable,24,seasonal_adjusted_log_return,19,0.3990983132072791,0.0901112655910769,4.428950260430024
0,True,Palm oil,roni,observable,24,seasonal_adjusted_log_return,19,0.2399229189746311,0.08951958456094065,2.6801165370836038
0,True,"Rubber, RSS3",roni,observable,24,seasonal_adjusted_log_return,19,0.15831352919738642,0.0732092773644822,2.16247905861987
0,True,Coconut oil,roni,observable,24,market_adjusted_log_return,19,0.9176398847802312,0.07927250890717841,11.575764378224891
0,True,Palm oil,roni,observable,24,market_adjusted_log_return,19,0.4658609545674355,0.07890517235321423,5.904061047887167
0,True,"Rubber, RSS3",roni,observable,24,market_adjusted_log_return,19,0.4643815860443964,0.0636478555360758,7.296107341451331
