family,commodity,episodes_x,draw_universe_episodes,bootstrap_mean_log_return,median_return,positive_share,log_mean_direction,log_sign_agreement,standard_error,t_statistic,confidence_level,ci_lower,ci_upper,log_mean_bootstrap_p_value,bootstrap_p_value_method,centered_p_value,studentized_p_value,studentized_ci_lower,studentized_ci_upper,studentized_valid_replicates,studentized_status,index_definition,anchor_type,direction,episodes_y,arithmetic_mean_return,mean_log_return,geometric_equivalent_return,jensen_gap,jensen_share_of_arithmetic_mean,time_spearman_rho,time_spearman_p_value,log_mean_bh_q_value,reject_log_mean_fdr,time_trend_bh_q_value,reject_time_trend_fdr,reject_log_mean_raw,reject_time_trend_raw
candidates,"Banana, US",17,17,0.02865655411576605,-0.00850601670407221,0.47058823529411764,positive,False,0.04835911488873631,0.5925781350981812,0.95,-0.0580202405500875,0.12355652382696443,0.563943605639436,studentized,0.5431456854314568,0.563943605639436,-0.06463627372071877,0.1438563582232733,10000,estimated,oni,observable,cold,17,0.049206147422172344,0.028656554115766064,0.02907110354100704,0.020135043881165306,0.40919773109675384,-0.17156862745098042,0.5102663098717944,0.704929507049295,False,0.9404583435037518,False,,
candidates,Barley,15,17,0.06107641628054557,0.046137207714213126,0.6,positive,True,0.059565521147766545,1.0253652633883767,0.95,-0.049089051471505406,0.17479507848661407,0.3224677532246775,studentized,0.28717128287171284,0.3224677532246775,-0.05779246753657016,0.19389155452385537,10000,estimated,oni,observable,cold,15,0.09025119337416264,0.06107641628054557,0.06298014007226385,0.027271053301898787,0.3021683401884636,0.4392857142857142,0.10136057119347246,0.5837063352488281,False,0.7473618482582888,False,,
candidates,Beef **,17,17,0.0065837772932673365,-0.019747543344382317,0.47058823529411764,positive,False,0.04831130146911095,0.13627820185048917,0.95,-0.08302274874594542,0.10145504447646485,0.8953104689531047,studentized,0.8905109489051095,0.8953104689531047,-0.08032363831360766,0.13281729874317694,10000,estimated,oni,observable,cold,17,0.02658191310102454,0.006583777293267333,0.0066054979969183535,0.019976415104106186,0.7515040406680225,0.10539215686274511,0.6872658389566565,0.9261832437445912,False,0.9404583435037518,False,,
candidates,Chicken **,17,17,-0.030129227716098748,0.005250747873290824,0.5882352941176471,negative,False,0.02339464869712416,-1.287868354261821,0.95,-0.07553709485740624,0.012101798744706533,0.21547845215478453,studentized,0.18348165183481652,0.21547845215478453,-0.08784960290205016,0.01406572357207293,10000,estimated,oni,observable,cold,17,-0.025500347470531277,-0.030129227716098748,-0.02967986680861514,0.004179519338083863,-0.16390048578411728,-0.11519607843137256,0.659750043107423,0.5714428557144285,False,0.9404583435037518,False,,
candidates,"Coal, Australian",17,17,-0.03682851081017885,-0.11339468041929372,0.29411764705882354,negative,True,0.06465278919327672,-0.5696352975597326,0.95,-0.1406593134033849,0.09924321835700471,0.5887411258874112,studentized,0.5597440255974403,0.5887411258874112,-0.1359710055479732,0.19884821565055644,10000,estimated,oni,observable,cold,17,0.003556741199394895,-0.03682851081017884,-0.03615859044028035,0.03971533163967525,11.16621351208572,-0.1519607843137255,0.5604155062809044,0.7064893510648935,False,0.9404583435037518,False,,
candidates,Cocoa,17,17,0.1288537646802236,0.15688211172801686,0.7058823529411765,positive,True,0.0624911113007499,2.0619534842338028,0.95,0.012094705183113431,0.24744264717302633,0.055894410558944105,studentized,0.031196880311968805,0.055894410558944105,-0.008315992499011493,0.2561812748936434,10000,estimated,oni,observable,cold,17,0.17322674735663,0.1288537646802236,0.13752376585064494,0.035702981505985054,0.2061054776516796,-0.019607843137254905,0.9404583435037518,0.2421186452783293,False,0.9404583435037518,False,,
candidates,Coconut oil,17,17,0.18053652535920853,0.12372174209358326,0.7058823529411765,positive,True,0.09211208793176952,1.959965618116679,0.95,0.0056608239987507745,0.35829995799372677,0.066993300669933,studentized,0.044195580441955803,0.066993300669933,-0.010927239877709022,0.38169606800669614,10000,estimated,oni,observable,cold,17,0.28159021706176307,0.18053652535920856,0.1978598729436036,0.08373034411815947,0.2973481997771049,-0.08088235294117649,0.7576329086921563,0.25122487751224876,False,0.9404583435037518,False,,
candidates,"Coffee, Arabica",17,17,0.22083903618747763,0.15444373554526844,0.8235294117647058,positive,True,0.09124065584117526,2.420401674576927,0.95,0.049273705080187476,0.4012094737955792,0.0324967503249675,studentized,0.0136986301369863,0.0324967503249675,0.04300688459762095,0.4390638782249417,10000,estimated,oni,observable,cold,17,0.33778586094445384,0.22083903618747766,0.2471226727870349,0.09066318815741894,0.2684043313829757,-0.2916666666666667,0.2560026072263,0.2421186452783293,False,0.9404583435037518,False,,
candidates,"Coffee, Robusta",17,17,0.17857969125964376,0.16137474266606278,0.7058823529411765,positive,True,0.07956452021462859,2.2444638738211156,0.95,0.03324594419407438,0.3358810829596025,0.042495750424957505,studentized,0.021397860213978603,0.042495750424957505,0.024557916738158436,0.3630553225479087,10000,estimated,oni,observable,cold,17,0.2610380668354271,0.17857969125964376,0.19551815182483873,0.06551991501058835,0.25099754915016187,-0.06127450980392158,0.8152828502754568,0.2421186452783293,False,0.9404583435037518,False,,
candidates,"Cotton, A Index",17,17,-0.06032421574455313,-0.09230038738213432,0.35294117647058826,negative,True,0.07562210218386338,-0.7977061467807941,0.95,-0.20756620755909128,0.08318832599171133,0.42425757424257576,studentized,0.40285971402859716,0.42425757424257576,-0.2165924174975628,0.10952336795718234,10000,estimated,oni,observable,cold,17,-0.014458831746339176,-0.06032421574455313,-0.058540751813360596,0.04408192006702142,-3.0487885079776587,-0.02696078431372549,0.9181909009189737,0.6474852514748525,False,0.9404583435037518,False,,
candidates,DAP,17,17,0.11782271538588959,0.021051483341169342,0.6470588235294118,positive,True,0.11390253317406634,1.0344169888287946,0.95,-0.10610935557353908,0.3293549541694511,0.32326767323267674,studentized,0.288971102889711,0.32326767323267674,-0.1253637655158328,0.35664778540008135,10000,estimated,oni,observable,cold,17,0.2447726316582907,0.11782271538588959,0.12504464058135165,0.11972799107693904,0.4891396160829067,0.019607843137254905,0.9404583435037518,0.5837063352488281,False,0.9404583435037518,False,,
candidates,Fish meal,14,17,0.051909215726082376,0.08638953709989923,0.5714285714285714,positive,True,0.07447234427936097,0.6970267450069828,0.95,-0.08857143065032977,0.19160876147717223,0.49035096490350966,studentized,0.46955304469553044,0.49035096490350966,-0.10742704193934513,0.2184763079479801,10000,estimated,oni,observable,cold,14,0.09209394416230172,0.051909215726082376,0.053280116902134765,0.03881382726016696,0.42145906132289684,0.44175824175824174,0.11377750302872344,0.6727153371619359,False,0.7473618482582888,False,,
candidates,Groundnut oil **,17,17,-0.05590747790650599,-0.09829595571416971,0.29411764705882354,negative,True,0.06667155013715992,-0.8385507430304296,0.95,-0.176075747458052,0.0760612024791151,0.40885911408859116,studentized,0.388961103889611,0.40885911408859116,-0.17924714321172514,0.11663426171508934,10000,estimated,oni,observable,cold,17,-0.017742287672275214,-0.055907477906506,-0.05437337680207863,0.03663108912980341,-2.0646204033228797,0.03186274509803922,0.9033768447188891,0.6474852514748525,False,0.9404583435037518,False,,
candidates,Lamb **,16,17,0.0023971014872352196,-0.01647138973506088,0.4375,positive,False,0.04388877002622137,0.054617650159780505,0.95,-0.0807717840704674,0.086265365806995,0.9583041695830417,studentized,0.9567043295670433,0.9583041695830417,-0.08995572842044611,0.0975098611126917,10000,estimated,oni,observable,cold,16,0.01703492900176285,0.0023971014872352214,0.0023999768320440286,0.014634952169718822,0.859114362508017,0.0588235294117647,0.8286807500332257,0.9583041695830417,False,0.9404583435037518,False,,
candidates,"Logs, Malaysian",17,17,0.1113051569089208,0.08248587612809719,0.7058823529411765,positive,True,0.03938740375476888,2.8259074297438147,0.95,0.03799239905385431,0.18606218454999734,0.0173982601739826,studentized,0.0027997200279972004,0.0173982601739826,0.03391250628876434,0.20548592792543544,10000,estimated,oni,observable,cold,17,0.13193903289753933,0.1113051569089208,0.11773593966189004,0.014203093235649292,0.10764891119581778,0.22303921568627455,0.3895228783967918,0.234976502349765,False,0.9404583435037518,False,,
candidates,Maize,17,17,-0.007541717610902695,-0.022627821281132665,0.4117647058823529,negative,True,0.042261163508848024,-0.17845503968019527,0.95,-0.08364045904976686,0.076918963769519,0.8625137486251375,studentized,0.855014498550145,0.8625137486251375,-0.08339292675086162,0.10575264158429264,10000,estimated,oni,observable,cold,17,0.007626683964005003,-0.007541717610902698,-0.0075133502163969405,0.015140034180401944,1.9851398395235789,0.3651960784313726,0.14947236965165778,0.9261832437445912,False,0.7473618482582888,False,,
candidates,"Natural gas, Europe",17,17,-0.015869075268477126,-0.05156531465633341,0.4117647058823529,negative,True,0.11463459663502272,-0.13843181495200435,0.95,-0.21521587119921856,0.2176821717798931,0.8932106789321068,studentized,0.8849115088491151,0.8932106789321068,-0.2150797659242044,0.29117950831840667,10000,estimated,oni,observable,cold,17,0.12043941231085471,-0.015869075268477133,-0.015743824904580622,0.13618323721543535,1.1307198748524756,-0.24754901960784317,0.33808764785888096,0.9261832437445912,False,0.9404583435037518,False,,
candidates,"Natural gas, US",17,17,-0.17216894960104848,-0.12209306244800627,0.23529411764705882,negative,True,0.0647757545789306,-2.6579227169211443,0.95,-0.2978465044178881,-0.05458647117960974,0.023497650234976502,studentized,0.0052994700529947,0.023497650234976502,-0.33367803005962643,-0.05029855665712123,10000,estimated,oni,observable,cold,17,-0.13100172279613553,-0.1721689496010485,-0.15816306686086162,0.02716134406472609,-0.20733577761411953,-0.44852941176470595,0.07094643963763717,0.234976502349765,False,0.7473618482582888,False,,
candidates,Orange,17,17,-0.09631570943850289,-0.13820721757612675,0.29411764705882354,negative,True,0.06889329433885666,-1.3980418611536718,0.95,-0.22983738061244516,0.03569415873826541,0.1795820417958204,studentized,0.14878512148785122,0.1795820417958204,-0.2475636752117753,0.0473467521807165,10000,estimated,oni,observable,cold,17,-0.057363314814875555,-0.09631570943850289,-0.09182274932605422,0.034459434511178666,-0.6007225109355533,0.06372549019607844,0.808021077411703,0.5387461253874612,False,0.9404583435037518,False,,
candidates,Palm oil,17,17,0.0873685583536638,0.06698748557246413,0.5882352941176471,positive,True,0.08666972003504998,1.0080632349836969,0.95,-0.07337533345039839,0.25480016243194564,0.3307669233076692,studentized,0.3043695630436956,0.3307669233076692,-0.09257003665483943,0.27482199371297267,10000,estimated,oni,observable,cold,17,0.159482555809172,0.0873685583536638,0.09129881290279225,0.06818374290637975,0.42753103974559226,0.21078431372549022,0.41674984855133407,0.5837063352488281,False,0.9404583435037518,False,,
candidates,"Rice, Thai 5%",17,17,0.06388551765795444,0.06697768477296134,0.7058823529411765,positive,True,0.050454265378636544,1.2662064778571722,0.95,-0.03549420756730364,0.1551719661936483,0.22857714228577142,studentized,0.18548145185481452,0.22857714228577142,-0.04817577823284194,0.15926692621373895,10000,estimated,oni,observable,cold,17,0.08717234536479401,0.06388551765795446,0.06597035699280512,0.02120198837198889,0.2432192031000655,0.056372549019607844,0.8298485835353617,0.5714428557144285,False,0.9404583435037518,False,,
