index_definition,anchor_type,direction,family,commodity,episodes,draw_universe_episodes,mean_return,median_return,positive_share,return_direction,sign_agreement,standard_error,t_statistic,confidence_level,ci_lower,ci_upper,bootstrap_p_value,bootstrap_p_value_method,centered_p_value,studentized_p_value,studentized_ci_lower,studentized_ci_upper,studentized_valid_replicates,studentized_status,bootstrap_bh_q_value,reject_bootstrap_fdr,reject_bootstrap_raw
roni,retrospective,warm,candidates,"Banana, US",16,16,-0.058221970103969505,-0.033608051443414666,0.3125,negative,True,0.09038128385251983,-0.6441817113261362,0.95,-0.21983523547406092,0.1259936644195123,0.538046195380462,studentized,0.5101489851014899,0.538046195380462,-0.22427544363779667,0.1843169238041982,10000,estimated,0.6456554344565544,False,
roni,retrospective,warm,candidates,Barley,15,16,0.21192852652959732,0.09264093242417326,0.8,positive,True,0.0835176437999289,2.537529998299326,0.95,0.06258149398197156,0.3778967456927174,0.033096690330966905,studentized,0.007499250074992501,0.033096690330966905,0.055113972032493436,0.4343899402324609,10000,estimated,0.11317050113170501,False,
roni,retrospective,warm,candidates,Beef **,16,16,0.002861689277098893,-0.09406530558980708,0.4375,positive,False,0.06424198177426556,0.04454547008145452,0.95,-0.11253769621210283,0.13085001025824863,0.9657034296570343,studentized,0.9641035896410359,0.9657034296570343,-0.11799240638136216,0.17345640602959592,10000,estimated,0.9782021797820218,False,
roni,retrospective,warm,candidates,Chicken **,16,16,0.005950452591432537,-0.02162324204879551,0.5,positive,False,0.02938619164352879,0.20249145120997336,0.95,-0.04703708285996213,0.06270837015964939,0.8372162783721628,studentized,0.8347165283471653,0.8372162783721628,-0.05158566049894977,0.07797344365890387,10000,estimated,0.9302403093024032,False,
roni,retrospective,warm,candidates,"Coal, Australian",16,16,-0.15501049121811442,-0.19686471010090673,0.1875,negative,True,0.0423415986985709,-3.660950365186525,0.95,-0.23116654599802652,-0.07263241151894609,0.0057994200579942,studentized,0.00019998000199980003,0.0057994200579942,-0.2335669101339689,-0.046260826230242,10000,estimated,0.028997100289971,True,
roni,retrospective,warm,candidates,Cocoa,16,16,0.24125687657907596,0.10071196006473349,0.8125,positive,True,0.11001915238890925,2.1928625274829554,0.95,0.0449332524728104,0.4563703516546357,0.062493750624937505,studentized,0.019498050194980503,0.062493750624937505,0.04799082157827636,0.5645820451928516,10000,estimated,0.12518748125187482,False,
roni,retrospective,warm,candidates,Coconut oil,16,16,0.9102153691327809,0.8672068989283125,0.9375,positive,True,0.16535535841099638,5.504601591866225,0.95,0.6119746991340389,1.2320732546916393,0.00029997000299970003,studentized,9.999000099990002e-05,0.00029997000299970003,0.5985116817012385,1.3287497204680356,10000,estimated,0.0044995500449955,True,
roni,retrospective,warm,candidates,"Coffee, Arabica",16,16,0.17783024295062302,0.20888226420966216,0.75,positive,True,0.08443323768018292,2.1061639685571487,0.95,0.02017224713823126,0.3377768876423323,0.053594640535946404,studentized,0.027797220277972202,0.053594640535946404,-0.0060993837819824925,0.3559692525750373,10000,estimated,0.12367993969833785,False,
roni,retrospective,warm,candidates,"Coffee, Robusta",16,16,0.33473534381267006,0.3517616593429578,0.75,positive,True,0.08590059347616343,3.8967756829940394,0.95,0.17367776840576366,0.49570427008691914,0.0025997400259974,studentized,0.00019998000199980003,0.0025997400259974,0.151228584214926,0.51987717581976,10000,estimated,0.0194980501949805,True,
roni,retrospective,warm,candidates,"Cotton, A Index",16,16,0.17934641707977594,-0.10611377338934086,0.375,positive,False,0.1721842668796111,1.0415958457178467,0.95,-0.12332341793699499,0.5170384956576829,0.31416858314168583,studentized,0.2802719728027197,0.31416858314168583,-0.11391559334496232,0.7746263222462881,10000,estimated,0.44881226163097976,False,
