index_definition,anchor_type,commodity,warm_episodes,cold_episodes,warm_mean_return,cold_mean_return,warm_minus_cold,opposite_mean_directions,valid_randomization_replicates,contrast_p_value,cold_bootstrap_mean_return,cold_bootstrap_p_value,cold_direction,cold_sign_agreement,contrast_bh_q_value,reject_direction_contrast_fdr,cold_bootstrap_bh_q_value,reject_cold_bootstrap_fdr
roni,retrospective,"Banana, US",17,18,-0.03206251747259871,-0.07475888199093456,0.04269636451833585,False,10000,0.6923307669233076,-0.07475888199093454,0.10358964103589641,negative,True,0.9969003099690031,False,0.20717928207179284,False
roni,retrospective,Barley,16,16,0.16942848013869646,0.16828740537431167,0.0011410747643847974,False,10000,0.9896010398960104,0.16828740537431164,0.014098590140985901,positive,True,0.9969003099690031,False,0.0704929507049295,False
roni,retrospective,Beef **,17,18,0.006188132183605152,-0.0048398923909244084,0.01102802457452956,True,10000,0.8913108689131087,-0.0048398923909244084,0.9096090390960904,negative,True,0.9969003099690031,False,0.9096090390960904,False
roni,retrospective,Chicken **,17,18,-0.019858342177439165,0.07677955088976493,-0.09663789306720409,True,10000,0.04279572042795721,0.07677955088976493,0.16568343165683433,positive,True,0.4904509549045095,False,0.2527247275272473,False
roni,retrospective,"Coal, Australian",16,18,-0.19661110008422422,-0.06328724770795212,-0.1333238523762721,False,10000,0.10108989101089891,-0.06328724770795212,0.3595640435956404,negative,True,0.6065393460653935,False,0.44945505449455053,False
roni,retrospective,Cocoa,17,18,0.3095434811055448,0.1360426691393888,0.173500811966156,False,10000,0.21307869213078692,0.13604266913938876,0.06879312068793121,positive,True,0.7419258074192581,False,0.17448255174482552,False
roni,retrospective,Coconut oil,17,18,0.8849426960023682,0.5826201846035033,0.3023225113988649,False,10000,0.18188181181881813,0.5826201846035032,0.0136986301369863,positive,True,0.7419258074192581,False,0.0704929507049295,False
roni,retrospective,"Coffee, Arabica",17,18,0.23491914997496255,0.3349641532026435,-0.10004500322768095,False,10000,0.577942205779422,0.3349641532026435,0.08659134086591341,positive,True,0.9969003099690031,False,0.19982617122903096,False
roni,retrospective,"Coffee, Robusta",17,18,0.3288551987373904,0.3143361860496264,0.01451901268776401,False,10000,0.9255074492550744,0.3143361860496264,0.050994900509949,positive,True,0.9969003099690031,False,0.16798320167983202,False
roni,retrospective,"Cotton, A Index",17,18,0.13872939429710346,0.07854323991846529,0.06018615437863817,False,10000,0.6119388061193881,0.07854323991846528,0.2592740725927407,positive,True,0.9969003099690031,False,0.3535555535355555,False
roni,retrospective,DAP,17,18,0.2391649476034115,0.23681998668321405,0.002344960920197453,False,10000,0.9873012698730127,0.23681998668321405,0.09779022097790221,positive,True,0.9969003099690031,False,0.20717928207179284,False
roni,retrospective,Fish meal,13,15,0.13736839511110352,0.00983324002359906,0.12753515508750446,False,10000,0.1294870512948705,0.009833240023599069,0.8625137486251375,positive,True,0.6474352564743525,False,0.8922556020260044,False
roni,retrospective,Groundnut oil **,17,18,0.13971947185611858,0.14454239326944515,-0.004822921413326575,False,10000,0.9706029397060294,0.14454239326944512,0.1618838116188381,positive,True,0.9969003099690031,False,0.2527247275272473,False
roni,retrospective,Lamb **,16,17,-0.032192483018107655,0.0557157246392697,-0.08790820765737736,True,10000,0.34306569343065696,0.05571572463926971,0.4657534246575342,positive,False,0.9356337093563372,False,0.517503805175038,False
roni,retrospective,"Logs, Malaysian",17,18,0.16883124120457588,0.169158905181248,-0.0003276639766721101,False,10000,0.9969003099690031,0.169158905181248,0.012098790120987902,positive,True,0.9969003099690031,False,0.0704929507049295,False
roni,retrospective,Maize,17,18,0.10394241271768623,0.21147240372218334,-0.10752999100449712,False,10000,0.2830716928307169,0.21147240372218337,0.025097490250974904,positive,True,0.8492150784921508,False,0.10756067250417815,False
roni,retrospective,"Natural gas, Europe",17,18,-0.267368129925349,-0.12146825678426754,-0.14589987314108144,False,10000,0.0537946205379462,-0.12146825678426748,0.06979302069793021,negative,True,0.4904509549045095,False,0.17448255174482552,False
roni,retrospective,"Natural gas, US",17,18,-0.145489134696988,-0.18868546281009219,0.0431963281131042,False,10000,0.5684431556844316,-0.18868546281009216,0.0071992800719928,negative,True,0.9969003099690031,False,0.0704929507049295,False
roni,retrospective,Orange,17,18,0.0060554785813038805,-0.02752496982337935,0.03358044840468323,True,10000,0.7138286171382862,-0.027524969823379358,0.6846315368463154,negative,True,0.9969003099690031,False,0.7335337894781951,False
roni,retrospective,Palm oil,17,18,0.43494056979515794,0.2561859734084006,0.17875459638675734,False,10000,0.0653934606539346,0.2561859734084006,0.0064993500649935,positive,True,0.4904509549045095,False,0.0704929507049295,False
